id,year,month,day,zipcode,latitude,longitude,sqft_lot,sqft_living,sqft_above,sqft_basement,floors,bedrooms,bathrooms,waterfront,view,condition,grade,year_built,year_renovated,sqft_lot_15nn,sqft_living_15nn,price
0,2014,5,2,98001,47.3406,-122.269,9397,2200,2200,0,2,4,2.5,0,1,3,8,1987,0,9176,2310,285000
1,2014,5,2,98003,47.3537,-122.303,10834,2090,1360,730,1,3,2.5,0,1,4,8,1987,0,8595,1750,285000
2,2014,5,2,98006,47.5443,-122.177,8119,2160,1080,1080,1,4,2.25,0,1,3,8,1966,0,9000,1850,440000
3,2014,5,2,98006,47.5746,-122.135,8800,1450,1450,0,1,4,1,0,1,4,7,1954,0,8942,1260,435000
4,2014,5,2,98006,47.5725,-122.133,10000,1920,1070,850,1,4,1.5,0,1,4,7,1954,0,10836,1450,430000
5,2014,5,2,98007,47.6022,-122.134,6700,1570,1570,0,1,3,1.5,0,1,4,7,1956,0,7300,1570,419000
6,2014,5,2,98008,47.6188,-122.114,8030,2000,1000,1000,1,3,2.25,0,1,4,8,1963,0,8250,2070,420000
7,2014,5,2,98011,47.7698,-122.222,9655,2210,1460,750,1,5,2.5,0,1,3,8,1976,0,8633,2080,470000
8,2014,5,2,98011,47.7419,-122.205,12261,2730,2730,0,2,4,2.5,0,1,3,9,1991,0,10872,2730,612500
9,2014,5,2,98014,47.6517,-121.906,23103,1800,1800,0,1,3,1.75,0,1,3,7,1968,0,18163,1410,284000
10,2014,5,2,98023,47.3256,-122.378,33151,3240,3240,0,2,3,2.5,0,3,3,10,1995,0,24967,4050,604000
11,2014,5,2,98024,47.5643,-121.897,16215,1580,1580,0,1,3,2.25,0,1,4,7,1978,0,16215,1450,335000
12,2014,5,2,98027,47.4635,-121.991,35100,1970,1970,0,2,3,2.25,0,1,4,9,1977,0,35100,2340,437500
13,2014,5,2,98027,47.4634,-121.987,37277,2710,2710,0,2,4,2.75,0,1,3,9,2000,0,39299,2390,630000
14,2014,5,2,98029,47.5794,-122.025,67518,2820,2820,0,2,5,2.5,0,1,3,8,1979,0,48351,2820,675000
15,2014,5,2,98033,47.6845,-122.201,11250,2200,1300,900,1.5,4,2.25,0,1,5,7,1920,0,10814,2320,698000
16,2014,5,2,98034,47.7274,-122.181,8700,1560,1560,0,1,4,1.75,0,1,4,7,1967,0,8000,2080,382500
17,2014,5,2,98038,47.3493,-122.034,19966,1850,1090,760,1,3,3,0,1,4,7,1992,0,6715,1410,287200
18,2014,5,2,98038,47.375,-122.022,35868,2710,2710,0,2,4,2.5,0,1,3,9,1989,0,36224,2780,482000
19,2014,5,2,98042,47.4225,-122.153,9720,1200,1200,0,1,3,1.5,0,1,4,7,1965,0,10284,1380,242500
20,2014,5,2,98042,47.3358,-122.055,5050,2540,2540,0,2,3,2.5,0,1,3,7,2006,0,5050,2280,300000
21,2014,5,2,98042,47.3672,-122.151,11947,1930,1930,0,1,3,2,0,1,4,8,1966,0,12825,2200,342000
22,2014,5,2,98045,47.4761,-121.734,5539,2680,2680,0,2,3,2.5,0,1,3,8,2013,0,6037,2990,459990
23,2014,5,2,98045,47.488,-121.787,10277,1180,1180,0,1,3,1.5,0,1,3,6,1983,0,11104,1680,275000
24,2014,5,2,98045,47.4828,-121.718,88426,2430,1570,860,1,3,2.5,0,1,4,7,1985,0,56827,1560,452500
25,2014,5,2,98052,47.7232,-122.131,42998,3310,3310,0,2,4,2.5,0,1,3,9,2001,0,42847,3350,838000
26,2014,5,2,98052,47.6344,-122.107,2560,1350,1350,0,1,2,2,0,1,3,8,1976,0,2560,1790,335000
27,2014,5,2,98052,47.683,-122.114,10500,1940,1140,800,1,4,2.5,0,1,4,7,1976,0,10500,2200,550000
28,2014,5,2,98055,47.462,-122.193,8625,1480,1480,0,1,4,2,0,1,4,7,1974,0,8502,2130,260000
29,2014,5,2,98059,47.5133,-122.11,54014,2730,1560,1170,1,4,3.25,0,1,3,9,2007,0,111274,2730,625000
30,2014,5,2,98059,47.4938,-122.161,10460,1930,1930,0,2,3,2.5,0,1,3,8,1996,0,8228,2290,407500
31,2014,5,2,98065,47.515,-121.87,6500,3310,3310,0,2,4,2.5,0,1,3,8,2012,0,5000,2380,555000
32,2014,5,2,98065,47.5337,-121.86,11995,3660,3660,0,2,5,3.25,0,3,3,10,2006,0,11241,3320,785000
33,2014,5,2,98072,47.7735,-122.158,3345,2860,2190,670,2,4,2.5,0,1,3,8,2004,0,3596,2860,499950
34,2014,5,2,98074,47.6267,-122.046,14892,2330,1970,360,1,3,1.75,0,1,3,8,1980,0,14217,2570,588500
35,2014,5,2,98075,47.5747,-122.035,35200,2910,2910,0,1.5,3,1.75,0,1,3,8,1979,0,37500,2590,550000
36,2014,5,2,98077,47.7427,-122.072,9180,1160,1160,0,1,3,1,0,1,3,7,1968,0,10282,1160,315000
37,2014,5,2,98092,47.3279,-122.191,7231,3110,3110,0,2,4,3,0,1,3,8,1997,0,7311,2820,367500
38,2014,5,2,98092,47.2703,-122.069,125452,2190,2190,0,1,4,1.75,0,3,3,9,1968,0,125017,3000,491500
39,2014,5,2,98092,47.2617,-122.19,42884,3630,2300,1330,1.5,4,2.5,0,1,3,9,1979,0,80148,2830,400000
40,2014,5,2,98102,47.6498,-122.321,1572,1750,1470,280,2.5,3,2.25,0,1,3,9,2005,0,3050,2410,626000
41,2014,5,2,98103,47.6965,-122.342,1235,1770,1600,170,3,3,2.5,0,1,3,8,2007,0,1203,1680,436110
42,2014,5,2,98105,47.6578,-122.28,4000,2920,1910,1010,1.5,4,2.5,0,1,5,8,1909,0,4000,2470,1400000
43,2014,5,2,98105,47.6552,-122.278,9480,2910,2910,0,1.5,5,2.75,0,1,3,8,1939,0,6600,2940,1200000
44,2014,5,2,98106,47.5489,-122.363,1368,1630,1280,350,2,2,2.5,0,1,3,7,2009,0,2306,1590,295000
45,2014,5,2,98106,47.5342,-122.36,9400,1210,1210,0,1,2,1,0,1,2,6,1949,0,6026,1580,235000
46,2014,5,2,98106,47.5334,-122.365,6435,1090,1090,0,1,3,1,0,1,4,7,1955,0,6435,1340,365000
47,2014,5,2,98107,47.6697,-122.392,1180,1270,1270,0,3,3,2.5,0,1,3,8,2001,0,1180,1320,445700
48,2014,5,2,98107,47.6639,-122.364,4850,800,800,0,1,2,1,0,1,4,7,1944,0,4365,1150,440000
49,2014,5,2,98115,47.6924,-122.322,6380,880,880,0,1,2,1,0,1,3,7,1938,1994,6380,1340,490000
50,2014,5,2,98115,47.678,-122.269,6200,1520,1520,0,1.5,4,2,0,1,3,7,1945,0,6200,1910,640000
51,2014,5,2,98115,47.6954,-122.292,10578,2240,1550,690,2,3,1.75,0,1,5,8,1923,0,10578,1570,750000
52,2014,5,2,98115,47.6747,-122.295,4500,2710,1880,830,1.5,3,2,0,1,4,8,1929,0,4500,2060,805000
53,2014,5,2,98115,47.6815,-122.269,5000,1820,1640,180,1.5,4,2,0,2,3,7,1945,0,5000,2060,650000
54,2014,5,2,98116,47.5631,-122.397,2875,1770,1770,0,2,3,2.5,0,1,3,8,1990,0,3833,1770,439950
55,2014,5,2,98116,47.5714,-122.408,6550,2390,1440,950,1,3,2.5,0,3,4,8,1955,0,6550,2010,750000
56,2014,5,2,98117,47.6833,-122.4,4750,2600,1700,900,1,3,2.5,0,1,4,9,1951,0,4750,2380,790000
57,2014,5,2,98119,47.6345,-122.367,9050,3650,3370,280,2,5,2.5,0,5,5,10,1921,0,5400,2880,2384000
58,2014,5,2,98125,47.701,-122.306,6380,1600,1130,470,1,4,1.75,0,1,3,8,1959,0,6380,1090,495000
59,2014,5,2,98133,47.7658,-122.339,7912,1340,1340,0,1.5,3,1.5,0,1,3,7,1955,0,7940,1480,313000
60,2014,5,2,98136,47.5274,-122.384,7291,2360,1360,1000,1,3,1.75,0,1,4,8,1948,0,5499,1860,615000
61,2014,5,2,98155,47.7512,-122.281,7320,1710,1710,0,1,3,1.75,0,1,3,7,1948,0,8839,2260,463000
62,2014,5,2,98155,47.7538,-122.325,8408,2820,2820,0,2,4,2.5,0,1,3,9,2014,0,8408,1300,625000
63,2014,5,2,98155,47.7352,-122.328,6174,850,850,0,1,2,1,0,1,4,7,1950,0,6174,1100,308500
64,2014,5,2,98166,47.4419,-122.34,13100,1960,1650,310,1,3,2,0,3,5,8,1957,0,10518,1960,403000
65,2014,5,2,98198,47.3815,-122.313,5858,1370,1370,0,1,3,1.75,0,1,3,7,1987,0,7500,1400,257950
66,2014,5,2,98199,47.6506,-122.383,1327,1320,1040,280,2,3,3.25,0,1,3,8,2008,0,1263,1440,385000
